identifier,name_consignee,address_1_consignee,address_2_consignee,address_3_consignee,address_4_consignee,city_consignee,zip_code_consignee,country_code_consignee,name_consignor,address_1_consignor,address_2_consignor,address_3_consignor,address_4_consignor,city_consignor,zip_code_consignor,country_code_consignor
202001022,WOOT SERVICES,1601 ESTES AVENUE,ELK GROVE VILLAGE,ILLINOIS 60007 IL,,,,,KORNIT DIGITAL LTD,12 HAAMAL ST. POB 11781 AFEK PARK,ROSH-HAAYIN 4809246 IL,,,,,
202001029,"IMPERIAL FOOD, INC.",475-A BLOY ST.,HILLSIDE US,,,,,,SHAVIT TECHNOLOGIES CO.,28 HOLLAND ST,NETANYA 42221 IS,,,,,
202001031,CLIPSO AMERICAS INC.,200 CORPORATE DRIVE,SUITE 4,BLAUVELT NY 10913 US,,,,,CLIPSO PRODUCTIONS,5 RUE DE LEGLISE,VIEUX-THANN 68800 FR,,,,,
202001035,LANGENSCHEIDT PUBLICATIONS INGRAM,1280 INGRAM DRIVE,CHAMBERSBURG PA 17202 US,,,,,,RHENUS MEDIEN GOTHA GMBH & CO.KG,LANGENSCHEIDTSTRASSE 10,GOTHA 99867 DE,,,,,
202001036,BOYD TECHNOLOGIES,501 PLEASANT STREET,LEE MA 01238 US,,,,,,PDM INDUSTRIES,BP 34,KERISOLE,QUIMPERE 29393 FR,,,,
202001039,BOBST GROUP (NORTH AMERICA),146 HARRISON AVE,ROSELAND NJ 07068 US,,,,,,BOBST GRENCHEN AG,NIKLAUS-WENGI-STRASSE 109,GRENCHEN 2540 CH,,,,,
202001040,EUROBUBBLIES INC,945 CONCARD STREET,FRAMINGHAM MA 01701,USA,,,,,SOURCES DE SOULTZMATT SA,5 AVENUE NESSEL,SOULTZMATT 68570,FRANCE,,,,
202001049,USF COLLECTION INC,1385 BROADWAY,SUITE 1012A NEW YORK,NY 10018,,,,,DUA APPREL,FIRST FLOOR DP-5 SECTOR 12/D,KORANGI INDUSTRIAL AREA,KARACHI PAKISTAN,,,,
202001060,QUINTEL USA INC.,"33300 DOWE AVE. UNION CITY, CALIFOR","NIA, 94587, USA",,,OAKLAND,94587,US,LEADTONE COMMUNICATION TECHNOLOIES,"NO.8 XINHUA ROAD XINWU ZONE WUXI,JI",ANGSU,214028 P.R.CHINA,,JIANGSU,,CN
202001062,WILLIAMS-SONOMA SINGAPORE PTE LIMIT,7755 POLK LANE,OLIVE BRANCH MS,UNITED STATES,,,,,DAMCO PHILIPPINES,9/F ONE E-COM CENTER HARBOR DRIVE C,PASAY CITY .,PHILIPPINES,,,,
